epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1595.82,0.87145,0.52534,1.11858,0.97561,0.96263,0.97952,0.84728,0.75077,0.4496,1.03358,0.0008705,0.0008705,0.0008705
94,1612.88,0.86352,0.5324,1.11165,0.97111,0.95007,0.97559,0.84966,0.74303,0.46518,1.03491,0.000866375,0.000866375,0.000866375
95,1630.2,0.86424,0.53078,1.10789,0.98252,0.95227,0.97477,0.84527,0.76365,0.46356,1.04734,0.00086225,0.00086225,0.00086225
96,1646.93,0.85086,0.519,1.09863,0.97348,0.96969,0.97952,0.85097,0.75893,0.44965,1.04133,0.000858125,0.000858125,0.000858125
97,1663.95,0.84559,0.51852,1.10764,0.97784,0.96436,0.97887,0.84941,0.73892,0.44773,1.02527,0.000854,0.000854,0.000854
98,1681.42,0.85686,0.52303,1.10867,0.98071,0.95106,0.97545,0.8542,0.72244,0.47119,1.02279,0.000849875,0.000849875,0.000849875
99,1698.27,0.85203,0.52356,1.10984,0.97548,0.96698,0.98062,0.85352,0.72908,0.44826,1.02575,0.00084575,0.00084575,0.00084575
100,1714.94,0.83911,0.51771,1.0974,0.98214,0.95415,0.97753,0.86052,0.73056,0.4517,1.02147,0.000841625,0.000841625,0.000841625
101,1731.7,0.86762,0.53561,1.1132,0.96649,0.96425,0.97626,0.8565,0.72585,0.45455,1.02236,0.0008375,0.0008375,0.0008375
102,1749.2,0.84042,0.51146,1.09223,0.97498,0.96419,0.97875,0.85982,0.71698,0.44772,1.02281,0.000833375,0.000833375,0.000833375
103,1766.06,0.84834,0.52368,1.10609,0.9765,0.95695,0.97865,0.86023,0.72011,0.44212,1.02311,0.00082925,0.00082925,0.00082925
104,1783.15,0.83792,0.5094,1.10477,0.97145,0.96077,0.97731,0.84533,0.74998,0.45548,1.04081,0.000825125,0.000825125,0.000825125
105,1800.65,0.83512,0.51411,1.09404,0.97199,0.96647,0.97828,0.85723,0.72585,0.44508,1.02351,0.000821,0.000821,0.000821
106,1817.48,0.83654,0.50584,1.09477,0.97899,0.9658,0.97866,0.85954,0.71146,0.44129,1.01236,0.000816875,0.000816875,0.000816875
107,1834.41,0.81785,0.49098,1.08811,0.971,0.96292,0.97873,0.85552,0.718,0.44223,1.01741,0.00081275,0.00081275,0.00081275
